taxon	rank	distance	rate
Caenorhabditis	Genus	655.145515	0.000638
Caenorhabditis	Genus	311.243526	0.00046
Caenorhabditis	Genus	532.694123	0.000763
Caenorhabditis	Genus	532.694123	0.000677
Caenorhabditis	Genus	487.738977	0.000705
Caenorhabditis	Genus	531.463456	0.000675
Caenorhabditis	Genus	498.337637	0.000555
Caenorhabditis	Genus	144.20314	0.00058
Caenorhabditis	Genus	177.637536	0.000567
Caenorhabditis	Genus	749.436772	0.000628
Caenorhabditis	Genus	344.490363	0.000642
Caenorhabditis	Genus	344.490363	0.000648
Caenorhabditis	Genus	68.276974	0.00233
Caenorhabditis	Genus	68.276974	0.002373
Caenorhabditis	Genus	83.949591	0.002313
Caenorhabditis	Genus	110.473938	0.002239
Caenorhabditis	Genus	223.10676	0.000673
Caenorhabditis	Genus	64.076774	0.001774
Caenorhabditis	Genus	255.030408	0.001225
Caenorhabditis	Genus	255.030408	0.001123
Caenorhabditis	Genus	48.205392	0.001821
Caenorhabditis	Genus	48.205392	0.001831
Caenorhabditis	Genus	98.175152	0.001725
Caenorhabditis	Genus	157.66795	0.000797
Caenorhabditis	Genus	184.583168	0.000682
Caenorhabditis	Genus	243.357618	0.000789
Caenorhabditis_brenneri	Species	15.546904	0.001412
Caenorhabditis_brenneri	Species	15.546904	0.001476
Caenorhabditis_brenneri	Species	30.533553	0.001336
Caenorhabditis_brenneri	Species	30.533553	0.001346
Caenorhabditis_brenneri	Species	3.191645	0.001765
Caenorhabditis_brenneri	Species	3.191645	0.001769
Caenorhabditis_brenneri	Species	98.61913	0.001961
Caenorhabditis_brenneri	Species	98.61913	0.002017
Caenorhabditis_brenneri	Species	5.275272	0.001036
Caenorhabditis_brenneri	Species	5.275272	0.001043
Caenorhabditis_brenneri	Species	8.720905	0.002897
Caenorhabditis_brenneri	Species	8.720905	0.002916
Caenorhabditis_brenneri	Species	48.202802	0.000726
Caenorhabditis_brenneri	Species	48.202802	0.00073
Caenorhabditis_brenneri	Species	340.145808	0.000669
Caenorhabditis_brenneri	Species	164.045147	0.000719
Caenorhabditis_brenneri	Species	63.968299	0.000726
Caenorhabditis_brenneri	Species	172.796579	0.000577
Caenorhabditis_brenneri	Species	172.796579	0.000588
Caenorhabditis_brenneri	Species	88.105932	0.000825
Caenorhabditis_brenneri	Species	88.105932	0.000836
Caenorhabditis_brenneri	Species	508.915878	0.000614
Caenorhabditis_brenneri	Species	508.915878	0.00067
Caenorhabditis_brenneri	Species	395.994401	0.000919
Caenorhabditis_brenneri	Species	28.613849	0.000579
Caenorhabditis_brenneri	Species	28.613849	0.00058
Caenorhabditis_brenneri	Species	499.258205	0.000611
Caenorhabditis_brenneri	Species	344.234006	0.00059
Caenorhabditis_brenneri	Species	225.957395	0.000646
Caenorhabditis_brenneri	Species	225.957395	0.000663
Caenorhabditis_brenneri	Species	7.697678	0.000734
Caenorhabditis_brenneri	Species	7.697678	0.00074
Caenorhabditis_briggsae_AF16	Species	400.554724	0.000659
Caenorhabditis_briggsae_AF16	Species	400.554724	0.000621
Caenorhabditis_briggsae_AF16	Species	291.424213	0.000687
Caenorhabditis_briggsae_AF16	Species	291.424213	0.000718
